"","sub","est_alpha.acq","est_alpha_rangecorrected.acq","est_baseline.acq","est_ceiling.acq","RW_model_resSS.acq","CStype"
"1",3,0.0683230389736579,0.00548311981399189,87.5393860992586,100,958.010377802518,"CS minus"
"2",4,0.0508523517354768,0.00127214927885932,60.0264272593278,100,206.99722541469,"CS minus"
"3",5,-0.0122910988896698,-0.000905491937230828,86.4260537457038,100,34.141266101752,"CS minus"
"4",7,0.00154523042121214,3.19307334671056e-05,51.60679842184,100,49.9129835210137,"CS minus"
"5",8,0.097023533723614,0.00178481696768815,45.6395050696501,100,268.618611811079,"CS minus"
"6",9,0.0219851899283932,0.00111904334026764,80.3535849441408,100,131.574652634702,"CS minus"
"7",12,-0.00858535610901284,-0.000191737764592037,55.2234473616608,100,22.0990443538351,"CS minus"
"8",14,0.046383964389706,0.000809627286500984,42.7094847677795,100,300.151776837302,"CS minus"
"9",15,0.00116228378067222,5.28231962218577e-05,77.9967161435931,100,36.6985896291895,"CS minus"
"10",16,0.109538515784723,0.00335263381982192,67.3276230952829,100,612.74124833703,"CS minus"
"11",17,0.499036085975489,Inf,100,100,5,"CS minus"
"12",19,-0.000495162101263842,-9.7476265949249e-06,49.2017778438858,100,9.89901114912364,"CS minus"
"13",20,0.0126107717555458,0.000210857078840432,40.1927987198897,100,2078.16146241354,"CS minus"
"14",21,0.221587870496786,0.00683676294133033,67.5887737517972,100,10.9039686547702,"CS minus"
"15",22,-1.7002583048358,-Inf,100,100,9705,"CS minus"
"16",23,0.00150794567175854,2.96793828599554e-05,49.1921486752638,100,3.89093962651186,"CS minus"
"17",24,-0.000491278656217211,-9.78600599343012e-06,49.7978382041628,100,9.10098275686457,"CS minus"
"18",25,-0.00260222524489205,-5.55895219233051e-05,53.1885658509125,100,4.31557875195475,"CS minus"
"19",27,0.00928415921826053,0.000184363464732503,49.6420875376198,100,33.3669982446139,"CS minus"
"20",28,-0.0509350540533992,-0.00435704730265643,88.3097312204197,100,257.115666696605,"CS minus"
"21",29,0.0140849344931016,0.000360402651048007,60.9188932097356,100,6.28492883624956,"CS minus"
"22",31,0.00272127418415465,5.91756219336246e-05,54.0135938544589,100,251.548071848519,"CS minus"
"23",32,0.5,Inf,100,100,0,"CS minus"
"24",33,-0.000605593241086102,-1.36443328712051e-05,55.6157676009105,100,309.092009158315,"CS minus"
"25",34,0.00245257627028413,4.73444451410534e-05,48.1971694255333,100,4.30509222851458,"CS minus"
"26",35,0.00295942675921869,5.73509331473068e-05,48.3979318764116,100,15.6148088391297,"CS minus"
"27",36,-0.00882124663927794,-0.000301719190501859,70.7633888828706,100,135.970352415709,"CS minus"
"28",37,-0.00745845809770164,-0.000152355372309292,51.0456508054048,100,206.825156099193,"CS minus"
"29",38,0.360284685531586,0.00722266728413963,50.1175021141095,100,17.9329975581775,"CS minus"
"30",39,-0.0163304562397224,-0.000344431125449938,52.5871646518893,100,75.8863386534043,"CS minus"
"31",40,0.0122165349102633,0.000198173807921855,38.354442303089,100,90.1419284213303,"CS minus"
"32",41,-0.00685964085188091,-0.000135784303545844,49.4813415634234,100,330.76028794432,"CS minus"
"33",42,-0.00601549351419133,-0.000128871581858074,53.321799674841,100,75.8932286307706,"CS minus"
"34",43,0.00218090917937472,4.52176457039311e-05,51.7686260435909,100,21.5441874253322,"CS minus"
"35",44,-0.0331792961796251,-0.00101624175706909,67.3509812514333,100,481.329154638978,"CS minus"
"36",45,0.0783550073146987,0.0127023789495662,93.8314698667233,100,28.6627448462812,"CS minus"
"37",46,-0.00355115279538237,-5.87463141211364e-05,39.5510535680621,100,150.863757586659,"CS minus"
"38",47,-0.00195485645898924,-3.90897315557458e-05,49.9905376377061,100,11.2126114066895,"CS minus"
"39",3,0.136854335203409,0.00136854335203409,0,100,788.6632423932,"CS pain"
"40",4,0.133591058498749,0.0023442012593864,43.0121206684629,100,33.3678920406037,"CS pain"
"41",5,0.0232403059035197,0.000239653460250428,3.0253688837435,100,62.1584178089786,"CS pain"
"42",7,-0.00567370713547082,-6.14800528791291e-05,7.71466728199746,100,55.4140472638458,"CS pain"
"43",8,0.0190742970499331,0.00019969973294823,4.48511488556717,100,117.412919652311,"CS pain"
"44",9,0.200920176972381,0.00301438311895353,33.3461709929787,100,88.8851780490582,"CS pain"
"45",12,-0.00224429860294175,-2.66644443718383e-05,15.8317881428623,100,11.6157297391698,"CS pain"
"46",14,0.249935055170957,0.00328810549660147,23.9881276834684,100,43.7214580534115,"CS pain"
"47",15,0.0126165528515974,0.000347449861653306,63.6881339035141,100,105.922714813696,"CS pain"
"48",16,0.0638760395910936,0.00182569369454156,65.0127292535055,100,736.245600225314,"CS pain"
"49",17,0.0217664800374296,0.000276759149128173,21.3522656577142,100,2408.09607497357,"CS pain"
"50",19,0.031308050249175,0.000694925040972135,54.9475865693688,100,107.188436365837,"CS pain"
"51",20,0.139099981992099,0.00199467321106124,30.2642752603608,100,317.030748063957,"CS pain"
"52",21,0.185186593761074,0.00395509850670764,53.1777543727401,100,5.68311399334049,"CS pain"
"53",22,0.986910579709004,0.0193509534079332,48.9993821542454,100,2504.66644017515,"CS pain"
"54",23,0.00833816521526516,0.000155840923044353,46.4956633188568,100,13.6331193315319,"CS pain"
"55",24,2.97901973526444e-10,6.07963210300445e-12,50.9999999211751,100,6.00000000000002,"CS pain"
"56",25,-0.020351319018805,-0.000470112227458221,56.7096581834524,100,16.883824833313,"CS pain"
"57",27,0.0488089730303531,0.000715431054703168,31.7768320098938,100,73.5169498439888,"CS pain"
